City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,smithers,54.7804,-127.1743,298.33,33,62,7.2,CA,1787095744
1,waitangi,-43.9535,-176.5597,281.94,77,86,3.58,NZ,1787095748
2,nelson bay,-32.7167,152.15,289.88,89,32,0.89,AU,1787095927
3,new plymouth,-39.0667,174.0833,282.77,100,41,3.93,NZ,1787095928
4,namibe,-15.1961,12.1522,291.92,86,57,2.24,AO,1787095609
5,hermanus,-34.4187,19.2345,284.65,88,100,3.8,ZA,1787095568
6,antigonish,45.6169,-61.9986,293.25,98,100,1.79,CA,1787095931
7,gizo,-8.103,156.8419,299.2,75,84,9.49,SB,1787095932
8,thompson,55.7435,-97.8558,288.24,63,96,3.09,CA,1787095533
9,coyhaique,-45.5752,-72.0662,276.5,99,100,3.36,CL,1787095934
10,talnakh,69.4865,88.3972,290.01,69,58,1.8,RU,1787095747
11,alofi,-19.0595,-169.9187,296.09,60,84,5.14,NU,1787095764
12,kyshtovka,56.555,76.6271,282.8,94,71,2.55,RU,1787095791
13,carutapera,-1.195,-46.02,299.09,75,90,3.98,BR,1787095707
14,riachao,-7.3619,-46.6172,298.93,34,84,1.67,BR,1787095941
15,wynyard,-41.0,145.7167,285.55,95,100,5.67,AU,1787095782
16,susuman,62.7833,148.1667,284.27,77,100,1.34,RU,1787095945
17,holualoa,19.6228,-155.9522,298.19,95,98,3.6,US,1787095782
18,stanley,54.868,-1.6985,287.17,88,100,3.09,GB,1787095591
19,ushuaia,-54.8,-68.3,276.96,87,87,4.12,AR,1787095322
20,iskateley,67.6803,53.1512,288.41,78,71,1.51,RU,1787095749
21,colares,38.7992,-9.4469,296.11,86,2,1.26,PT,1787095756
22,bethel,41.3712,-73.414,299.61,76,66,5.81,US,1787095681
23,hamilton,39.1834,-84.5333,300.86,61,6,3.09,US,1787095609
24,kerikeri,-35.2268,173.9474,285.13,61,47,4.08,NZ,1787095759
25,udachny,66.4167,112.4,281.19,67,22,2.19,RU,1787095757
26,qaqortoq,60.7167,-46.0333,282.64,68,99,1.35,GL,1787095758
27,margaret river,-33.95,115.0667,286.76,80,63,6.55,AU,1787095748
28,port-aux-francais,-49.35,70.2167,273.97,69,99,0.93,TF,1787095743
29,sao joao da barra,-21.6403,-41.0511,295.29,80,0,10.51,BR,1787095669
30,atafu village,-8.5421,-172.5159,301.41,78,74,7.09,TK,1787095711
31,blackmans bay,-43.0167,147.3167,280.22,80,76,3.72,AU,1787095744
32,yuzhno-kurilsk,44.0306,145.8556,294.35,88,85,5.04,RU,1787095749
33,helena valley southeast,46.6153,-111.9216,301.23,26,96,3.6,US,1787095963
34,ribeira grande,38.5167,-28.7,296.91,88,23,3.13,PT,1787095745
35,priargunsk,50.3691,119.1012,287.74,82,77,2.0,RU,1787095967
36,keflavik,64.0049,-22.5624,283.39,87,0,3.09,IS,1787095601
37,anadyr,64.75,177.4833,286.43,87,86,3.0,RU,1787095744
38,west island,-12.1568,96.8225,295.14,65,12,1.03,CC,1787095748
39,gaozhou,21.9392,110.8461,301.2,82,87,2.11,CN,1787095971
40,yellowknife,62.456,-114.3525,293.44,60,57,7.2,CA,1787095747
41,zaraza,9.3503,-65.3245,298.69,89,100,1.85,VE,1787095973
42,isla vista,34.4133,-119.861,304.35,52,58,2.44,US,1787095974
43,peace river,56.2501,-117.286,298.32,46,58,5.14,CA,1787095796
44,laguna de perlas,12.3429,-83.6712,299.6,89,100,6.01,NI,1787095977
45,polyarnyy,69.1989,33.4478,283.65,100,100,2.21,RU,1787095745
46,adamstown,-25.066,-130.1015,290.98,56,44,5.84,PN,1787095746
47,saipan,15.1355,145.701,301.54,89,98,5.14,MP,1787095746
